188,151,151,6
189,151,151,2
189,151,151,5
189,151,151,8
191,151,151,3
191,151,151,6
191,151,129,7
193,51,51,1
193,51,77,2
193,51,77,3
194,151,151,3
194,151,129,4
194,151,179,4
194,51,77,1
194,51,77,2
194,51,76,3
195,102,77,1
195,102,76,2
195,102,129,3
195,188,179,3
195,188,176,4
195,188,205,11
195,77,77,1
195,77,76,2
195,77,58,3
196,77,76,1
196,77,58,2
196,77,48,6
197,76,58,1
197,76,48,5
197,76,99,16
197,151,129,1
197,151,179,1
197,151,176,2
198,129,130,1
198,129,151,4
198,129,113,6
198,179,176,1
198,179,151,4
198,179,151,7
198,58,48,4
198,58,43,15
198,58,35,19
199,176,151,3
199,176,151,6
199,176,205,7
199,130,151,3
199,130,113,5
199,130,151,6
202,151,151,3
202,151,180,4
202,151,127,48
202,48,43,11
202,48,35,15
202,48,27,48
204,113,99,9
204,113,100,10
204,113,127,46
205,151,180,1
205,151,127,45
205,151,178,48
206,205,192,1
206,205,178,47
206,205,176,56
206,180,192,1
206,180,178,47
206,180,176,56
207,192,178,46
207,192,176,55
207,192,178,56
210,9,35,7
210,9,27,40
210,9,18,40
213,43,35,4
213,43,27,37
213,43,18,37
213,99,100,1
213,99,127,37
213,99,115,38
214,100,127,36
214,100,115,37
214,100,90,38
217,35,27,33
217,35,18,33
217,35,41,34
250,27,41,1
250,27,43,2
250,27,23,2
250,18,41,1
250,18,43,2
250,18,23,2
250,127,115,1
250,127,122,12
250,127,126,16
251,41,43,1
251,41,23,1
251,41,36,2
251,115,90,1
251,115,92,2
251,115,122,11
252,90,72,1
252,90,82,1
252,90,92,1
252,43,36,1
252,43,72,1
252,43,72,2
252,23,36,1
252,23,36,2
252,23,48,2
253,36,36,1
253,36,48,1
253,36,35,2
253,178,176,9
253,178,178,10
253,72,72,1
253,72,48,1
253,82,72,1
253,82,108,24
253,92,72,1
253,92,122,9
253,92,108,24
254,36,35,1
254,36,23,9
254,36,22,10
254,48,35,1
254,48,23,9
254,48,22,10
255,35,23,8
255,35,22,9
255,35,30,10
262,122,126,4
262,122,126,5
262,122,144,14
262,176,178,1
263,23,22,1
263,23,30,2
263,23,28,3
264,22,30,1
264,22,28,2
264,22,6,59
265,30,28,1
265,30,6,58
266,28,6,57
266,126,126,1
266,126,144,10
266,126,144,11
267,126,144,9
267,126,144,10
267,126,108,10
276,144,144,1
276,144,145,40
276,144,144,41
277,144,145,39
277,144,144,40
277,144,144,41
277,108,96,40
316,145,144,1
316,145,144,2
316,145,122,24
317,96,122,23
317,96,114,24
317,96,80,28
317,144,144,1
317,144,122,23
317,144,114,24
318,144,122,22
318,144,114,23
318,144,143,24
323,6,35,56
330,51,51,1
330,51,51,2
330,51,80,15
331,51,51,1
331,51,80,14
331,51,72,15
332,51,80,13
332,51,72,14
332,51,51,36
338,202,176,60
338,202,185,62
340,122,114,1
340,122,143,2
340,122,122,12
341,114,143,1
341,114,88,6
341,114,122,11
342,143,122,10
342,143,125,11
345,80,72,1
345,80,88,2
345,80,107,8
346,72,88,1
346,72,51,22
346,72,51,23
347,88,107,6
347,88,108,8
347,88,108,12
352,122,125,1
352,122,107,1
352,122,108,3
353,125,108,2
353,125,108,6
353,125,108,7
353,107,108,2
353,107,108,6
353,107,108,7
355,108,108,4
355,108,108,5
355,108,93,17
359,108,108,1
359,108,93,13
359,108,94,14
360,108,93,12
360,108,94,13
360,108,95,14
368,51,51,1
368,51,35,11
368,51,72,36
369,51,35,10
369,51,72,35
369,51,33,54
372,93,94,1
372,93,95,2
372,93,97,30
373,94,95,1
373,94,97,29
373,94,96,31
374,95,97,28
374,95,96,30
374,95,72,30
379,35,33,44
379,35,9,54
379,35,18,55
398,176,185,2
398,176,190,13
398,176,149,24
400,185,190,11
400,185,169,23
400,185,167,24
402,97,96,2
402,97,72,2
402,97,96,5
404,96,96,3
404,96,75,53
404,72,96,3
404,72,75,53
407,96,75,50
411,190,169,12
411,190,167,13
411,190,168,14
422,149,148,1
422,149,169,1
422,149,167,2
423,148,167,1
423,148,168,2
423,148,152,4
423,33,9,10
423,33,18,11
423,33,18,20
423,169,167,1
423,169,168,2
423,169,152,4
424,167,168,1
424,167,152,3
425,168,152,2
433,9,18,1
433,9,18,10
433,9,38,24
434,18,18,9
434,18,38,23
443,18,38,14
